Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,428.5,1796.9148,4.1935,0.000359383
0.0002,413,1731.9155,4.1935,0.000346383
0.0004,405.5,1700.0588,4.1925,0.000340012
0.0006,402,1685.787,4.1935,0.000337157
0.0008,398,1669.0131,4.1935,0.000333803
0.001,406.5,1704.861,4.194,0.000340972
0.0012,386,1618.691,4.1935,0.000323738
0.0014,420,1761.27,4.1935,0.000352254
0.0016,422.5,1771.7538,4.1935,0.000354351
0.0018,418,1753.0919,4.194,0.000350618
0.002,399,1673.2065,4.1935,0.000334641
0.0022,413,1732.1219,4.194,0.000346424
0.0024,413,1731.5026,4.1925,0.000346301
0.0026,431.5,1809.0638,4.1925,0.000361813
0.0028,460,1929.2399,4.194,0.000385848
0.003,418,1752.8831,4.1935,0.000350577
0.0032,413.5,1734.0122,4.1935,0.000346802
0.0034,402,1685.787,4.1935,0.000337157
0.0036,394,1651.8451,4.1925,0.000330369
0.0038,399.5,1675.3032,4.1935,0.000335061
0.004,436.5,1830.4628,4.1935,0.000366093
0.0042,502.5,2106.7312,4.1925,0.000421346
0.0044,481.5,2018.6888,4.1925,0.000403738
0.0046,459.5,1926.9133,4.1935,0.000385383
0.0048,480,2013.1199,4.194,0.000402624
0.005,409,1714.7325,4.1925,0.000342946
0.0052,398,1669.0131,4.1935,0.000333803
0.0054,380,1593.15,4.1925,0.00031863
0.0056,416,1744.496,4.1935,0.000348899
0.0058,422,1769.2351,4.1925,0.000353847
0.006,451.5,1892.9138,4.1925,0.000378583
0.0062,465.5,1951.6088,4.1925,0.000390322
0.0064,487.5,2044.5748,4.194,0.000408915
0.0066,423,1773.8505,4.1935,0.00035477
0.0068,423,1773.8505,4.1935,0.00035477
0.007,397,1664.8195,4.1935,0.000332964
0.0072,413.5,1734.0122,4.1935,0.000346802
0.0074,447,1874.4945,4.1935,0.000374899
0.0076,444,1861.9141,4.1935,0.000372383
0.0078,405.5,1700.0588,4.1925,0.000340012
0.008,417.5,1750.7863,4.1935,0.000350157
0.0082,447,1874.4945,4.1935,0.000374899
0.0084,424.5,1780.1407,4.1935,0.000356028
0.0086,409,1715.1415,4.1935,0.000343028
0.0088,425.5,1783.9088,4.1925,0.000356782
0.009,444.5,1864.0107,4.1935,0.000372802
0.0092,447.5,1876.5913,4.1935,0.000375318
0.0094,444,1861.9141,4.1935,0.000372383
0.0096,451,1891.4939,4.194,0.000378299
0.0098,451,1890.8175,4.1925,0.000378164
0.01,472.5,1981.4287,4.1935,0.000396286
0.0102,442,1853.527,4.1935,0.000370705
0.0104,441.5,1851.4303,4.1935,0.000370286
0.0106,455,1908.0425,4.1935,0.000381609
0.0108,442,1853.527,4.1935,0.000370705
0.011,413.5,1734.0122,4.1935,0.000346802
0.0112,391,1639.6586,4.1935,0.000327932
0.0114,409,1715.1415,4.1935,0.000343028
0.0116,413,1731.5026,4.1925,0.000346301
0.0118,408.5,1713.0448,4.1935,0.000342609
0.012,396,1660.2301,4.1925,0.000332046
0.0122,413,1731.9155,4.1935,0.000346383
0.0124,412.5,1729.8187,4.1935,0.000345964
0.0126,409,1715.1415,4.1935,0.000343028
0.0128,393,1647.6526,4.1925,0.00032953
0.013,416,1744.496,4.1935,0.000348899
0.0132,441,1849.554,4.194,0.000369911
0.0134,416.5,1746.5928,4.1935,0.000349319
0.0136,394.5,1654.3358,4.1935,0.000330867
0.0138,409,1715.3459,4.194,0.000343069
0.014,373,1564.1755,4.1935,0.000312835
0.0142,381.5,1600.3926,4.195,0.000320078
0.0144,366.5,1535.8181,4.1905,0.000307164
0.0146,450.5,1889.8475,4.195,0.00037797
0.0148,433.5,1817.4489,4.1925,0.00036349
0.015,470,1971.1799,4.194,0.000394236
0.0152,437.5,1834.2188,4.1925,0.000366844
0.0154,498.5,2090.4597,4.1935,0.000418092
0.0156,501,2100.9436,4.1935,0.000420189
0.0158,501,2100.4426,4.1925,0.000420088
0.016,482,2021.267,4.1935,0.000404253
0.0162,461.5,1934.3773,4.1915,0.000386875
0.0164,498.5,2089.9614,4.1925,0.000417992
0.0166,504.5,2115.6206,4.1935,0.000423124
0.0168,514,2155.459,4.1935,0.000431092
