Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.0234,784.5,3289.8008,4.194,0.000658039
0.0236,743,3114.2847,4.194,0.000623228
0.0238,864,3623.1841,4.194,0.000724723
0.024,923.5,3871.7739,4.194,0.000774632
0.0242,908.5,3809.7947,4.194,0.00076205
0.0244,895.5,3756.6226,4.194,0.000751145
0.0246,822.5,3448.3313,4.194,0.000689913
0.0248,875,3669.7498,4.194,0.00073395
0.025,827.5,3470.1213,4.194,0.000694107
0.0252,809,3392.5415,4.194,0.000678589
0.0254,845.5,3545.6042,4.194,0.000709205
0.0256,829,3474.7537,4.194,0.000695365
0.0258,865,3628.675,4.194,0.000725562
0.026,755,3164.5825,4.194,0.000633294
0.0262,913,3828.6655,4.194,0.000765824
0.0264,893,3744.7957,4.194,0.000749048
0.0266,848,3556.0881,4.194,0.000711302
0.0268,847.5,3553.9912,4.194,0.000710883
0.027,814,3413.509,4.194,0.000682783
0.0272,815,3416.8877,4.194,0.000683622
0.0274,890,3732.2151,4.194,0.000746532
0.0276,880.5,3692.3767,4.194,0.000738563
0.0278,701.5,2941.7402,4.194,0.000588418
0.028,709,2973.1917,4.194,0.000594709
0.0282,678.5,2845.2898,4.194,0.000569126
0.0284,642,2690.9431,4.194,0.00053851
0.0286,705.5,2958.5142,4.194,0.000591773
0.0288,706,2960.6111,4.194,0.000592193
0.029,692,2901.9021,4.194,0.00058045
0.0292,689.5,2890.7288,4.194,0.000578353
0.0294,625,2620.9375,4.194,0.00052425
0.0296,462.5,1939.4938,4.194,0.000387945
0.0298,410,1718.925,4.194,0.000343908
0.03,454.5,1907.082,4.194,0.000381235
0.0302,431,1807.3986,4.194,0.000361523
0.0304,499.5,2095.9021,4.194,0.000418981
0.0306,495,2075.2876,4.194,0.000415206
0.0308,532.5,2233.3049,4.194,0.000446661
0.031,429,1799.226,4.194,0.000359845
0.0312,430.5,1805.3018,4.194,0.000361103
0.0314,417.5,1750.7863,4.194,0.000350199
0.0316,448.5,1880.3363,4.194,0.000376202
0.0318,494.5,2073.6858,4.194,0.000414787
0.032,490,2055.55,4.194,0.000411012
0.0322,430.5,1804.8713,4.194,0.000361103
0.0324,492.5,2065.2988,4.194,0.000413109
0.0326,510.5,2140.2712,4.194,0.000428207
0.0328,499.5,2094.1538,4.194,0.000418981
0.033,513,2151.2656,4.194,0.000430304
0.0332,539,2260.2966,4.194,0.000452113
0.0334,510.5,2140.7817,4.194,0.000428207
0.0336,491,2059.0085,4.194,0.000411851
0.0338,504.5,2115.1162,4.194,0.000423175
0.034,522,2189.2678,4.194,0.000437854
0.0342,517,2168.2979,4.194,0.00043366
0.0344,502,2105.137,4.194,0.000421078
0.0346,510.5,2140.7817,4.194,0.000428207
0.0348,517,2168.0396,4.194,0.00043366
0.035,488,2046.428,4.194,0.000409334
0.0352,411.5,1725.2137,4.194,0.000345166
0.0354,443,1857.2776,4.194,0.000371588
0.0356,453,1899.8818,4.194,0.000379976
0.0358,413,1731.5026,4.194,0.000346424
0.036,439,1841.6051,4.194,0.000368233
0.0362,417.5,1750.3688,4.194,0.000350199
0.0364,445,1865.6626,4.194,0.000373266
0.0366,490.5,2056.9119,4.194,0.000411431
0.0368,438,1836.7531,4.194,0.000367394
0.037,424.5,1779.7163,4.194,0.000356071
0.0372,430.5,1804.8713,4.194,0.000361103
0.0374,453,1899.8818,4.194,0.000379976
0.0376,427.5,1792.2938,4.194,0.000358587
0.0378,486.5,2040.8676,4.194,0.000408076
0.038,448,1878.688,4.194,0.000375782
0.0382,530.5,2224.917,4.194,0.000444983
0.0384,519,2175.9075,4.194,0.000435337
0.0386,514.5,2157.0413,4.194,0.000431563
0.0388,526,2205.781,4.194,0.000441209
0.039,509,2135.2551,4.194,0.000426949
0.0392,412,1727.3101,4.194,0.000345586
0.0394,428,1795.4601,4.194,0.000359006
0.0396,393,1648.0455,4.194,0.000329648
0.0398,426.5,1789.1676,4.194,0.000357748
0.04,368.5,1544.9363,4.194,0.000309098
0.0402,413,1731.9155,4.194,0.000346424
0.0404,415,1740.3025,4.194,0.000348102
0.0406,403,1689.9805,4.194,0.000338036
0.0408,390.5,1637.757,4.194,0.000327551
0.041,405.5,1700.4642,4.194,0.000340133
0.0412,400.5,1679.0963,4.194,0.000335939
0.0414,405,1698.3676,4.194,0.000339714
0.0416,419,1757.7051,4.194,0.000351457
0.0418,376,1576.756,4.194,0.000315389
0.042,411,1723.1176,4.194,0.000344747
0.0422,399.5,1675.3032,4.194,0.000335101
0.0424,406,1702.561,4.194,0.000340553
0.0426,408,1710.54,4.194,0.00034223
0.0428,449.5,1884.9783,4.194,0.000377041
0.043,422,1769.657,4.194,0.000353974
0.0432,406,1702.561,4.194,0.000340553
0.0434,401,1681.1925,4.194,0.000336359
0.0436,472.5,1981.4287,4.194,0.000396333
0.0438,457,1917.572,4.194,0.000383332
0.044,309.5,1298.043,4.194,0.000259609
0.0442,230.5,966.6017,4.194,0.000193343
0.0444,249,1044.1815,4.194,0.000208861
0.0446,251,1052.5685,4.194,0.000210539
0.0448,247.5,1038.0149,4.194,0.000207603
0.045,228,955.89,4.194,0.000191246
0.0452,247,1035.918,4.194,0.000207184
0.0454,250,1048.375,4.194,0.0002097
0.0456,249,1044.1815,4.194,0.000208861
0.0458,228,956.118,4.194,0.000191246
0.046,246,1031.601,4.194,0.000206345
0.0462,250.5,1050.4718,4.194,0.000210119
0.0464,250,1048.375,4.194,0.0002097
0.0466,230,964.505,4.194,0.000192924
0.0468,243.5,1021.1172,4.194,0.000204248
0.047,250,1048.375,4.194,0.0002097
0.0472,248.5,1042.4575,4.194,0.000208442
0.0474,232,972.892,4.194,0.000194602
0.0476,236.5,991.7628,4.194,0.000198376
0.0478,247.5,1037.8912,4.194,0.000207603
0.048,247,1035.918,4.194,0.000207184
0.0482,237,993.8595,4.194,0.000198796
0.0484,225,943.8751,4.194,0.00018873
0.0486,228,956.118,4.194,0.000191246
0.0488,228,956.2319,4.194,0.000191246
0.049,228,956.118,4.194,0.000191246
0.0492,243,1019.0205,4.194,0.000203828
0.0494,273.5,1146.9222,4.194,0.000229412
0.0496,273.5,1146.9222,4.194,0.000229412
0.0498,269,1128.0515,4.194,0.000225637
0.05,248.5,1042.0847,4.194,0.000208442
0.0502,272.5,1142.7288,4.194,0.000228573
0.0504,276.5,1159.5028,4.194,0.000231928
0.0506,271.5,1138.6709,4.194,0.000227734
0.0508,242.5,1016.6813,4.194,0.000203409
0.051,278.5,1167.8898,4.194,0.000233606
0.0512,282,1182.567,4.194,0.000236542
0.0514,279.5,1172.2229,4.194,0.000234445
0.0516,256,1073.536,4.194,0.000214733
0.0518,268.5,1125.9547,4.194,0.000225218
0.052,276.5,1159.5028,4.194,0.000231928
0.0522,279,1170.126,4.194,0.000234025
0.0524,262,1099.0901,4.194,0.000219766
0.0526,268,1123.858,4.194,0.000224798
0.0528,278.5,1167.8898,4.194,0.000233606
0.053,278,1166.2101,4.194,0.000233186
0.0532,264.5,1109.1808,4.194,0.000221863
0.0534,264,1107.2159,4.194,0.000221443
0.0536,278.5,1167.8898,4.194,0.000233606
0.0538,277.5,1163.6963,4.194,0.000232767
0.054,267,1118.8634,4.194,0.00022396
0.0542,347,1455.3179,4.194,0.000291064
0.0544,380,1593.15,4.194,0.000318744
0.0546,418,1752.0471,4.194,0.000350618
0.0548,405,1698.5699,4.194,0.000339714
0.055,366.5,1536.9177,4.194,0.00030742
0.0552,309,1295.9459,4.194,0.000259189
0.0554,273.5,1146.9222,4.194,0.000229412
0.0556,266.5,1117.9675,4.194,0.00022354
0.0558,252,1056.762,4.194,0.000211378
0.056,270.5,1134.4769,4.194,0.000226895
0.0562,272.5,1142.865,4.194,0.000228573
0.0564,268.5,1126.089,4.194,0.000225218
0.0566,250.5,1050.4718,4.194,0.000210119
0.0568,273,1144.8256,4.194,0.000228992
0.057,272.5,1142.7288,4.194,0.000228573
0.0572,282.5,1184.3812,4.194,0.000236961
0.0574,321,1345.4716,4.194,0.000269255
0.0576,431.5,1809.7109,4.194,0.000361942
0.0578,444.5,1863.5663,4.194,0.000372847
0.058,479.5,2010.7833,4.194,0.000402205
0.0582,557,2334.6655,4.194,0.000467212
0.0584,580.5,2434.6169,4.194,0.000486923
0.0586,453.5,1901.7523,4.194,0.000380396
0.0588,393,1647.6526,4.194,0.000329648
0.059,363,1521.5145,4.194,0.000304484
0.0592,370,1551.2251,4.194,0.000310356
0.0594,376.5,1577.7231,4.194,0.000315808
0.0596,377,1580.5725,4.194,0.000316228
