Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0,338.5,1419.4998,4.195,0.000284002
0.0002,335.5,1406.9193,4.195,0.000281485
0.0004,332,1392.2421,4.195,0.000278548
0.0006,308.5,1293.3862,4.195,0.000258832
0.0008,330.5,1385.6213,4.195,0.00027729
0.001,328,1375.468,4.195,0.000275192
0.0012,333.5,1398.5322,4.195,0.000279807
0.0014,313,1312.2526,4.195,0.000262607
0.0016,326,1367.0811,4.195,0.000273514
0.0018,333,1396.4355,4.195,0.000279387
0.002,334.5,1402.8929,4.195,0.000280646
0.0022,314.5,1318.8557,4.195,0.000263866
0.0024,325.5,1364.9843,4.195,0.000273095
0.0026,336,1409.016,4.195,0.000281904
0.0028,325.5,1365.147,4.195,0.000273095
0.003,291.5,1222.4053,4.195,0.000244569
0.0032,298.5,1251.7598,4.195,0.000250442
0.0034,294.5,1234.9857,4.195,0.000247086
0.0036,303.5,1272.7273,4.195,0.000254637
0.0038,295,1237.0825,4.195,0.000247505
0.004,292,1224.6479,4.195,0.000244988
0.0042,307,1287.4045,4.195,0.000257573
0.0044,307.5,1289.5012,4.195,0.000257993
0.0046,286,1199.4839,4.195,0.000239954
0.0048,275,1153.2125,4.195,0.000230725
0.005,294,1232.889,4.195,0.000246666
0.0052,303.5,1272.7273,4.195,0.000254637
0.0054,311.5,1306.2753,4.195,0.000261349
0.0056,349.5,1465.6283,4.195,0.000293231
0.0058,350.5,1469.4713,4.195,0.00029407
0.006,354.5,1486.2413,4.195,0.000297425
0.0062,391,1639.2676,4.195,0.000328049
0.0064,414,1736.109,4.195,0.000347346
0.0066,404,1694.1741,4.195,0.000338956
0.0068,403.5,1692.6826,4.195,0.000338537
0.007,327,1371.4379,4.195,0.000274353
0.0072,287.5,1205.7749,4.195,0.000241213
0.0074,295,1237.23,4.195,0.000247505
0.0076,306.5,1285.3077,4.195,0.000257154
0.0078,310,1299.985,4.195,0.00026009
0.008,291.5,1222.4053,4.195,0.000244569
0.0082,296,1241.424,4.195,0.000248344
0.0084,304.5,1276.9208,4.195,0.000255476
0.0086,301,1262.2435,4.195,0.000252539
0.0088,296.5,1243.5209,4.195,0.000248763
0.009,290.5,1218.3569,4.195,0.00024373
0.0092,304.5,1276.9208,4.195,0.000255476
0.0094,306.5,1285.3077,4.195,0.000257153
0.0096,297.5,1247.715,4.195,0.000249603
0.0098,288.5,1209.8247,4.195,0.000242052
0.01,306.5,1285.3077,4.195,0.000257154
0.0102,297.5,1247.715,4.195,0.000249602
0.0104,287.5,1205.6312,4.195,0.000241213
0.0106,277.5,1163.4188,4.195,0.000232823
0.0108,295.5,1239.1793,4.195,0.000247924
0.011,296,1241.276,4.195,0.000248344
0.0112,292,1224.6479,4.195,0.000244988
0.0114,280.5,1176.2767,4.195,0.000235339
0.0116,304,1274.824,4.195,0.000255056
0.0118,306,1283.2111,4.195,0.000256734
0.012,302.5,1268.6849,4.195,0.000253798
0.0122,288,1207.728,4.195,0.000241632
0.0124,306,1283.2111,4.195,0.000256734
0.0126,307,1287.4045,4.195,0.000257573
0.0128,305,1279.0175,4.195,0.000255895
0.013,284,1190.954,4.195,0.000238276
0.0132,297.5,1247.5663,4.195,0.000249603
0.0134,306.5,1285.3077,4.195,0.000257153
0.0136,304.5,1276.9208,4.195,0.000255476
0.0138,286,1199.3411,4.195,0.000239954
0.014,297,1245.4695,4.195,0.000249183
0.0142,327.5,1373.3712,4.195,0.000274772
0.0144,328,1375.468,4.195,0.000275192
0.0146,311,1304.1785,4.195,0.000260929
0.0148,315.5,1323.0493,4.195,0.000264704
0.015,327.5,1373.3712,4.195,0.000274773
0.0152,328,1375.632,4.195,0.000275192
0.0154,315.5,1323.2069,4.195,0.000264704
0.0156,315.5,1323.0493,4.195,0.000264705
0.0158,327.5,1373.3712,4.195,0.000274772
0.016,337.5,1415.3063,4.195,0.000283162
0.0162,322.5,1352.4038,4.195,0.000270578
0.0164,304,1274.824,4.195,0.000255056
0.0166,325,1363.375,4.195,0.000272675
0.0168,320,1341.92,4.195,0.00026848
0.017,313,1312.5656,4.195,0.000262607
0.0172,300,1257.75,4.195,0.0002517
0.0174,320,1341.92,4.195,0.00026848
0.0176,357.5,1499.1763,4.195,0.000299942
0.0178,403.5,1692.0773,4.195,0.000338536
0.018,467.5,1960.6949,4.195,0.000392233
0.0182,455.5,1910.1393,4.195,0.000382164
0.0184,440.5,1847.2368,4.195,0.000369579
0.0186,401,1681.5935,4.195,0.000336439
0.0188,406,1702.561,4.195,0.000340634
0.019,413,1731.9155,4.195,0.000346507
0.0192,415,1740.3025,4.195,0.000348185
0.0194,393,1648.0455,4.195,0.000329727
0.0196,329,1379.3325,4.195,0.000276031
0.0198,343,1438.0276,4.195,0.000287777
0.02,348.5,1461.4348,4.195,0.000292391
0.0202,347,1455.1445,4.195,0.000291133
0.0204,326.5,1369.1777,4.195,0.000273933
0.0206,339,1421.2576,4.195,0.000284421
0.0208,344.5,1444.6608,4.195,0.000289036
0.021,344,1442.564,4.195,0.000288616
0.0212,332,1392.2421,4.195,0.000278548
0.0214,326.5,1368.8513,4.195,0.000273934
0.0216,401,1681.1925,4.195,0.000336439
0.0218,448,1878.688,4.195,0.000375872
0.022,439,1840.5076,4.195,0.000368321
0.0222,433.5,1817.8823,4.195,0.000363706
0.0224,414.5,1737.7913,4.195,0.000347765
0.0226,425,1782.2375,4.195,0.000356575
0.0228,458.5,1922.7197,4.195,0.000384681
0.023,430,1803.2051,4.195,0.00036077
0.0232,458,1920.623,4.195,0.000384262
0.0234,461.5,1934.8387,4.195,0.000387198
0.0236,484,2029.17,4.195,0.000406076
0.0238,458,1920.623,4.195,0.000384262
0.024,444,1861.9141,4.195,0.000372516
0.0242,442,1853.0851,4.195,0.000370838
0.0244,458.5,1922.2614,4.195,0.000384681
0.0246,436,1827.9301,4.195,0.000365804
0.0248,455,1908.0425,4.195,0.000381745
0.025,454.5,1905.9458,4.195,0.000381325
0.0252,451.5,1893.5909,4.195,0.000378808
0.0254,407.5,1708.8513,4.195,0.000341893
0.0256,375.5,1574.2838,4.195,0.000315044
0.0258,406.5,1704.6577,4.195,0.000341053
0.026,436,1828.366,4.195,0.000365804
0.0262,421.5,1767.1388,4.195,0.000353638
0.0264,411.5,1725.8309,4.195,0.000345248
0.0266,369.5,1549.4983,4.195,0.000310011
0.0268,408.5,1713.0448,4.195,0.000342731
0.027,430.5,1805.3018,4.195,0.000361189
0.0272,441.5,1851.4303,4.195,0.000370419
0.0274,442.5,1855.1813,4.195,0.000371257
0.0276,462,1936.9351,4.195,0.000387618
0.0278,451.5,1892.9138,4.195,0.000378809
0.028,422.5,1771.3313,4.195,0.000354477
0.0282,458.5,1922.7197,4.195,0.000384682
0.0284,447.5,1876.5913,4.195,0.000375452
0.0286,466,1954.4039,4.195,0.000390974
0.0288,445.5,1868.2042,4.195,0.000373775
0.029,450,1886.625,4.195,0.00037755
0.0292,456.5,1914.3328,4.195,0.000383003
0.0294,458,1920.623,4.195,0.000384262
0.0296,443,1857.7205,4.195,0.000371677
0.0298,449,1882.8815,4.195,0.000376711
0.03,449.5,1884.9783,4.195,0.000377131
0.0302,444.5,1864.0107,4.195,0.000372935
0.0304,467,1957.8976,4.195,0.000391813
0.0306,539,2259.7576,4.195,0.000452221
0.0308,655.5,2748.1838,4.195,0.000549964
0.031,704.5,2955.3777,4.195,0.000591075
0.0312,589,2469.9714,4.195,0.000494171
0.0314,611,2561.6177,4.195,0.000512629
0.0316,588.5,2467.2864,4.195,0.000493751
0.0318,584.5,2451.1008,4.195,0.000490395
0.032,606,2540.655,4.195,0.000508434
0.0322,633.5,2656.5823,4.195,0.000531506
0.0324,628,2632.8901,4.195,0.000526892
0.0326,600.5,2517.5964,4.195,0.00050382
0.0328,541.5,2271.5925,4.195,0.000454318
0.033,509.5,2136.843,4.195,0.00042747
0.0332,519.5,2178.5232,4.195,0.00043586
0.0334,507,2126.3579,4.195,0.000425373
0.0336,493,2066.9026,4.195,0.000413627
0.0338,497.5,2086.2664,4.195,0.000417403
0.034,506.5,2124.0078,4.195,0.000424953
0.0342,510.5,2140.2712,4.195,0.000428309
0.0344,497.5,2085.7688,4.195,0.000417402
0.0346,509,2134.7458,4.195,0.000427051
0.0348,524,2197.394,4.195,0.000439636
0.035,514.5,2156.5269,4.195,0.000431665
0.0352,510.5,2139.7607,4.195,0.000428309
0.0354,505,2117.97,4.195,0.000423695
0.0356,520,2181.4001,4.195,0.00043628
0.0358,517,2168.8152,4.195,0.000433763
0.036,470,1971.1799,4.195,0.00039433
0.0362,432.5,1813.2563,4.195,0.000362867
0.0364,440.5,1847.2368,4.195,0.000369579
0.0366,372.5,1562.0787,4.195,0.000312527
0.0368,361,1513.8535,4.195,0.000302879
0.037,353,1480.3055,4.195,0.000296167
0.0372,360,1509.66,4.195,0.00030204
0.0374,371.5,1557.8853,4.195,0.000311688
0.0376,403,1689.9805,4.195,0.000338117
0.0378,422,1770.29,4.195,0.000354058
0.038,401,1681.1925,4.195,0.000336439
0.0382,447.5,1876.1438,4.195,0.000375452
0.0384,509.5,2136.0789,4.195,0.000427471
0.0386,531.5,2228.8452,4.195,0.000445928
0.0388,518.5,2174.3298,4.195,0.000435021
0.039,504,2113.5239,4.195,0.000422856
0.0392,519.5,2178.5232,4.195,0.00043586
0.0394,529.5,2220.4583,4.195,0.000444251
0.0396,601.5,2522.3904,4.195,0.000504658
0.0398,614,2574.8091,4.195,0.000515146
0.04,610.5,2560.1318,4.195,0.000512209
0.0402,575,2411.2625,4.195,0.000482425
0.0404,541,2268.1426,4.195,0.000453899
0.0406,580.5,2433.7463,4.195,0.00048704
0.0408,527.5,2212.0713,4.195,0.000442572
0.041,481.5,2019.1703,4.195,0.000403978
0.0412,519,2175.9075,4.195,0.000435441
0.0414,577,2419.6494,4.195,0.000484103
0.0416,557,2335.2227,4.195,0.000467323
0.0418,558.5,2342.0698,4.195,0.000468582
0.042,514.5,2157.5557,4.195,0.000431665
0.0422,555.5,2328.3784,4.195,0.000466064
0.0424,656.5,2753.0327,4.195,0.000550803
0.0426,653.5,2742.0862,4.195,0.000548286
0.0428,579,2427.4575,4.195,0.000485781
0.043,574,2407.356,4.195,0.000481586
0.0432,581.5,2438.8108,4.195,0.000487878
0.0434,582,2440.0352,4.195,0.000488298
0.0436,614,2575.116,4.195,0.000515146
0.0438,613.5,2572.7122,4.195,0.000514726
0.044,662,2777.0901,4.195,0.000555418
0.0442,587.5,2463.0938,4.195,0.000492912
0.0444,570,2390.2949,4.195,0.00047823
0.0446,592,2482.8479,4.195,0.000496688
0.0448,584,2449.0039,4.195,0.000489976
0.045,572,2399.54,4.195,0.000479908
0.0452,506,2121.405,4.195,0.000424534
0.0454,499,2092.5566,4.195,0.000418661
0.0456,510.5,2141.0369,4.195,0.000428309
0.0458,505,2117.2126,4.195,0.000423695
0.046,529.5,2220.4583,4.195,0.00044425
0.0462,571.5,2396.5852,4.195,0.000479488
0.0464,595.5,2498.1226,4.195,0.000499625
0.0466,519.5,2178.0039,4.195,0.00043586
0.0468,501,2099.9417,4.195,0.000420339
0.047,495.5,2077.8792,4.195,0.000415724
0.0472,516,2163.8459,4.195,0.000432924
0.0474,500,2096.25,4.195,0.0004195
0.0476,593,2486.7456,4.195,0.000497527
0.0478,566.5,2376.4675,4.195,0.000475293
0.048,572,2398.9678,4.195,0.000479908
0.0482,526.5,2206.825,4.195,0.000441733
0.0484,514.5,2157.5557,4.195,0.000431665
0.0486,434,1820.1959,4.195,0.000364126
0.0488,404,1694.1741,4.195,0.000338956
0.049,410,1718.925,4.195,0.00034399
0.0492,404.5,1696.2708,4.195,0.000339375
0.0494,391.5,1641.7552,4.195,0.000328468
0.0496,412.5,1730.0249,4.195,0.000346087
0.0498,414,1736.109,4.195,0.000347346
0.05,408.5,1713.0448,4.195,0.000342731
0.0502,387,1623.0779,4.195,0.000324693
0.0504,403,1689.9805,4.195,0.000338117
0.0506,408,1710.948,4.195,0.000342312
0.0508,415,1740.3025,4.195,0.000348185
0.051,414.5,1738.2058,4.195,0.000347766
0.0512,406.5,1704.861,4.195,0.000341053
0.0514,417,1748.6896,4.195,0.000349863
0.0516,411,1723.5286,4.195,0.000344829
0.0518,395.5,1658.5293,4.195,0.000331824
0.052,396,1660.626,4.195,0.000332244
0.0522,402.5,1687.8838,4.195,0.000337697
0.0524,382.5,1604.0138,4.195,0.000320917
0.0526,370.5,1553.6918,4.195,0.000310849
0.0528,364,1526.434,4.195,0.000305396
0.053,381,1597.7235,4.195,0.000319659
0.0532,382.5,1604.0138,4.195,0.000320918
0.0534,373,1564.1755,4.195,0.000312947
0.0536,364,1526.434,4.195,0.000305396
0.0538,383,1606.1105,4.195,0.000321337
0.054,381,1597.7235,4.195,0.000319659
0.0542,372,1559.9821,4.195,0.000312108
0.0544,360,1509.3,4.195,0.00030204
0.0546,397,1664.8195,4.195,0.000333083
0.0548,459,1924.8165,4.195,0.000385101
0.055,496.5,2081.5764,4.195,0.000416563
0.0552,596.5,2500.8264,4.195,0.000500463
0.0554,627.5,2631.4214,4.195,0.000526472
0.0556,588,2465.7781,4.195,0.000493332
0.0558,603,2528.0776,4.195,0.000505917
0.056,636,2665.7942,4.195,0.000533604
0.0562,716,3001.114,4.195,0.000600724
0.0564,798,3346.8118,4.195,0.000669522
0.0566,718,3012.01,4.195,0.000602402
0.0568,601.5,2521.1873,4.195,0.000504658
0.057,592.5,2484.6487,4.195,0.000497107
0.0572,582.5,2441.5488,4.195,0.000488717
0.0574,585.5,2454.1233,4.195,0.000491234
0.0576,687.5,2882.3438,4.195,0.000576812
0.0578,696.5,2921.1208,4.195,0.000584364
0.058,592,2481.96,4.195,0.000496688
0.0582,547,2293.2976,4.195,0.000458933
0.0584,565,2369.3276,4.195,0.000474035
0.0586,541,2268.6836,4.195,0.000453899
0.0588,567.5,2379.8113,4.195,0.000476132
0.059,572.5,2400.2063,4.195,0.000480328
0.0592,585,2453.4897,4.195,0.000490815
0.0594,550,2305.875,4.195,0.00046145
0.0596,575.5,2412.2083,4.195,0.000482844
0.0598,690,2892.8252,4.195,0.00057891
0.06,746.5,3129.7014,4.195,0.000626313
0.0602,713,2989.2527,4.195,0.000598207
0.0604,676.5,2837.2407,4.195,0.000567583
0.0606,665,2788.6775,4.195,0.000557935
0.0608,665.5,2790.1089,4.195,0.000558354
0.061,673.5,2825.3325,4.195,0.000565066
0.0612,672,2817.3601,4.195,0.000563808
0.0614,677.5,2841.0962,4.195,0.000568422
0.0616,671.5,2815.9353,4.195,0.000563388
0.0618,662,2775.4351,4.195,0.000555418
0.062,663.5,2781.7239,4.195,0.000556676
0.0622,686.5,2878.8379,4.195,0.000575973
0.0624,684,2867.6702,4.195,0.000573876
0.0626,679,2847.3865,4.195,0.000569681
0.0628,660.5,2769.1462,4.195,0.00055416
0.063,688.5,2886.5364,4.195,0.000577652
0.0632,684.5,2870.4507,4.195,0.000574295
0.0634,678,2843.1931,4.195,0.000568842
0.0636,657.5,2755.9114,4.195,0.000551642
0.0638,696.5,2920.7727,4.195,0.000584364
0.064,710.5,2979.4817,4.195,0.000596109
0.0642,714.5,2996.6128,4.195,0.000599466
0.0644,687,2880.9346,4.195,0.000576393
0.0646,703,2948.0305,4.195,0.000589817
0.0648,707.5,2966.1938,4.195,0.000593593
0.065,711.5,2984.0308,4.195,0.000596948
0.0652,665,2788.6775,4.195,0.000557935
0.0654,692,2901.9021,4.195,0.000580588
0.0656,625,2620.3125,4.195,0.000524375
0.0658,645.5,2706.9043,4.195,0.000541575
0.066,649.5,2723.6782,4.195,0.00054493
0.0662,643.5,2698.5173,4.195,0.000539897
0.0664,666,2792.2051,4.195,0.000558774
0.0666,677,2838.9995,4.195,0.000568003
0.0668,673,2822.2256,4.195,0.000564647
0.067,626,2624.5051,4.195,0.000525214
0.0672,611.5,2564.3252,4.195,0.000513049
0.0674,576,2415.4561,4.195,0.000483264
0.0676,618.5,2593.6797,4.195,0.000518922
0.0678,596,2498.73,4.195,0.000500044
0.068,590.5,2475.6714,4.195,0.000495429
0.0682,580.5,2433.1658,4.195,0.00048704
0.0684,583.5,2446.9072,4.195,0.000489556
0.0686,546.5,2291.7478,4.195,0.000458514
0.0688,594,2490.939,4.195,0.000498366
0.069,551.5,2312.7153,4.195,0.000462708
0.0692,520,2180.6201,4.195,0.00043628
0.0694,495,2075.7825,4.195,0.000415305
0.0696,510.5,2140.7817,4.195,0.00042831
0.0698,508.5,2132.3945,4.195,0.000426632
0.07,511,2142.8784,4.195,0.000428729
0.0702,497.5,2085.7688,4.195,0.000417403
0.0704,513,2151.2656,4.195,0.000430407
0.0706,511.5,2144.4639,4.195,0.000429149
0.0708,496.5,2082.0728,4.195,0.000416563
0.071,481.5,2019.1703,4.195,0.000403979
0.0712,493,2067.3955,4.195,0.000413627
0.0714,553.5,2320.5488,4.195,0.000464386
0.0716,590,2474.165,4.195,0.00049501
0.0718,633,2654.4856,4.195,0.000531087
0.072,689,2887.9436,4.195,0.000578071
0.0722,710.5,2979.4817,4.195,0.00059611
0.0724,709.5,2975.6428,4.195,0.00059527
0.0726,775,3250.3499,4.195,0.000650225
0.0728,733.5,3074.4653,4.195,0.000615406
0.073,764.5,3206.3127,4.195,0.000641416
0.0732,683.5,2865.5737,4.195,0.000573457
0.0734,651.5,2732.0652,4.195,0.000546608
0.0736,639.5,2681.1038,4.195,0.000536541
0.0738,652.5,2736.585,4.195,0.000547447
0.074,594.5,2493.0359,4.195,0.000498786
0.0742,580,2431.6501,4.195,0.00048662
0.0744,555,2326.2827,4.195,0.000465645
0.0746,640.5,2685.9368,4.195,0.00053738
0.0748,694.5,2912.7329,4.195,0.000582685
0.075,718.5,3011.5928,4.195,0.000602822
0.0752,749,3140.9316,4.195,0.000628411
0.0754,743,3115.0276,4.195,0.000623377
0.0756,714.5,2995.5413,4.195,0.000599466
0.0758,690,2892.8252,4.195,0.00057891
0.076,692,2901.9021,4.195,0.000580588
0.0762,668.5,2803.689,4.195,0.000560871
0.0764,693,2905.4026,4.195,0.000581427
0.0766,695,2914.4824,4.195,0.000583105
0.0768,689,2889.3215,4.195,0.000578071
0.077,674,2825.071,4.195,0.000565486
0.0772,706.5,2962.7078,4.195,0.000592753
0.0774,698.5,2928.4614,4.195,0.000586042
0.0776,718,3010.9331,4.195,0.000602402
0.0778,730.5,3062.6213,4.195,0.00061289
0.078,799,3349.8076,4.195,0.000670361
0.0782,809.5,3394.6382,4.195,0.00067917
0.0784,730,3061.2551,4.195,0.00061247
0.0786,709,2971.7737,4.195,0.000594851
0.0788,729.5,3059.1582,4.195,0.000612051
0.079,702,2943.8369,4.195,0.000588978
0.0792,693.5,2907.4988,4.195,0.000581846
0.0794,692.5,2903.3064,4.195,0.000581008
0.0796,739.5,3102.2026,4.195,0.00062044
0.0798,711,2981.5786,4.195,0.000596529
0.08,682,2859.967,4.195,0.000572198
0.0802,647,2712.5476,4.195,0.000542833
0.0804,673.5,2824.3223,4.195,0.000565067
0.0806,672,2818.032,4.195,0.000563808
0.0808,628,2633.5181,4.195,0.000526892
0.081,604.5,2534.9707,4.195,0.000507175
0.0812,593,2486.7456,4.195,0.000497527
0.0814,620.5,2601.4463,4.195,0.0005206
0.0816,615,2579.3098,4.195,0.000515985
0.0818,607.5,2547.855,4.195,0.000509693
0.082,593,2486.1526,4.195,0.000497527
0.0822,620.5,2601.4463,4.195,0.0005206
0.0824,627,2629.3245,4.195,0.000526053
0.0826,614,2574.1951,4.195,0.000515146
0.0828,597,2502.9226,4.195,0.000500883
0.083,624.5,2618.8408,4.195,0.000523955
0.0832,633.5,2656.5823,4.195,0.000531507
0.0834,646.5,2711.0977,4.195,0.000542413
0.0836,652,2733.51,4.195,0.000547028
0.0838,658.5,2761.4197,4.195,0.000552482
0.084,647.5,2715.2913,4.195,0.000543252
0.0842,625,2620.9375,4.195,0.000524375
0.0844,602.5,2526.5837,4.195,0.000505497
0.0846,610.5,2560.1318,4.195,0.00051221
0.0848,555,2327.3926,4.195,0.000465645
0.085,524.5,2198.9663,4.195,0.000440055
0.0852,536.5,2249.8127,4.195,0.000450124
0.0854,536.5,2249.2764,4.195,0.000450123
0.0856,550,2306.425,4.195,0.00046145
0.0858,539,2260.2966,4.195,0.000452221
0.086,518,2172.2329,4.195,0.000434602
0.0862,504,2113.5239,4.195,0.000422856
0.0864,517.5,2170.3948,4.195,0.000434182
0.0866,515.5,2161.7493,4.195,0.000432505
0.0868,511,2142.8784,4.195,0.000428729
0.087,505,2117.2126,4.195,0.000423695
