Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0,169.5,710.8829,4.195,0.000142211
0.0002,151,633.0675,4.195,0.000126689
0.0004,178,746.532,4.195,0.000149342
0.0006,193.5,811.5389,4.195,0.000162347
0.0008,193.5,811.7325,4.195,0.000162347
0.001,172.5,723.2063,4.195,0.000144728
0.0012,189.5,794.6683,4.195,0.000158991
0.0014,194,813.539,4.195,0.000162766
0.0016,193.5,811.5389,4.195,0.000162347
0.0018,174.5,731.853,4.195,0.000146406
0.002,186,780.084,4.195,0.000156054
0.0022,198.5,832.509,4.195,0.000166542
0.0024,197,826.218,4.195,0.000165283
0.0026,183.5,769.5073,4.195,0.000153957
0.0028,193.5,811.4423,4.195,0.000162347
0.003,203.5,853.3773,4.195,0.000170737
0.0032,203,851.2805,4.195,0.000170317
0.0034,181,759.0235,4.195,0.000151859
0.0036,184.5,773.7007,4.195,0.000154796
0.0038,197.5,828.2162,4.195,0.000165703
0.004,201.5,844.9902,4.195,0.000169059
0.0042,189.5,794.6683,4.195,0.000158991
0.0044,183.5,769.5073,4.195,0.000153957
0.0046,201,842.8935,4.195,0.000168639
0.0048,201,842.8935,4.195,0.000168639
0.005,193,809.3455,4.195,0.000161927
0.0052,181,759.0235,4.195,0.000151859
0.0054,199.5,836.6033,4.195,0.000167381
0.0056,199.5,836.6033,4.195,0.000167381
0.0058,193,809.442,4.195,0.000161927
0.006,162.5,681.4438,4.195,0.000136338
0.0062,171,717.0885,4.195,0.000143469
0.0064,172.5,723.3788,4.195,0.000144728
0.0066,170,712.895,4.195,0.00014263
0.0068,150.5,630.9713,4.195,0.00012627
0.007,171.5,719.1852,4.195,0.000143889
0.0072,172,721.282,4.195,0.000144308
0.0074,168,704.76,4.195,0.000140952
0.0076,150,629.025,4.195,0.00012585
0.0078,165.5,694.1069,4.195,0.000138855
0.008,170,712.895,4.195,0.00014263
0.0082,168.5,706.6047,4.195,0.000141371
0.0084,188,788.378,4.195,0.000157732
0.0086,200,838.7999,4.195,0.0001678
0.0088,201.5,844.9902,4.195,0.000169058
0.009,202,847.087,4.195,0.000169478
0.0092,189,792.5715,4.195,0.000158571
